How Far I'll Go|Alessia Cara
No Opp Left Behind|21 Savage & Metro Boomin
Chosen|Blxst & Tyga Featuring Ty Dolla $ign
Dynamite|BTS
Feedback|Kanye West
Closed On Sunday|Kanye West
Zoom|Future
Wishing Well|Juice WRLD
Mercy|Shawn Mendes
Ramen & OJ|Joyner Lucas & Lil Baby
Jingle Bells|Frank Sinatra
Baby Sitter|DaBaby Featuring Offset
Voice Of The Heroes|Lil Baby & Lil Durk
Dakiti|Bad Bunny & Jhay Cortez
Stain|A Boogie Wit da Hoodie Featuring DaBaby
The Cut Off|J. Cole Featuring kiLL edward
Just Say Det|Moneybagg Yo
Doom|Juice WRLD
Just Like Magic|Ariana Grande
Off The Grid|Kanye West
Don't Let Me Down|The Chainsmokers Featuring Daya
Meanwhile Back At Mama's|Tim McGraw Featuring Faith Hill
Like I Want You|Giveon
Astronauts|Future & Juice WRLD
Heavy Heart|Meek Mill
Redemption|Drake
Repeat After Me (Interlude)|The Weeknd
Bubbly|Young Thug With Drake & Travis Scott
On The Regular|Meek Mill
Easy|DaniLeigh Featuring Chris Brown
Shine On|Sawyer Fredericks
Don't Believe The Hype|Polo G
Slide Away|Miley Cyrus
HAD ENOUGH|Don Toliver Featuring Quavo & Offset
More Than My Hometown|Morgan Wallen
Tales Of Dominica|Lil Nas X
Out West|JACKBOYS Featuring Young Thug
Blame It On You|Jason Aldean
Ghostface Killers|21 Savage, Offset & Metro Boomin Featuring Travis Scott
Go!|Kid LAROI & Juice WRLD
Greatest|Eminem
IDOL|BTS Featuring Nicki Minaj
V. 3005|Childish Gambino
I'm Not Gonna Miss You|Glen Campbell
Maybe|Machine Gun Kelly & Bring Me The Horizon
New Freezer|Rich The Kid Featuring Kendrick Lamar
I Don't Mind|Usher Featuring Juicy J
Call It What You Want|Taylor Swift
Mad Stalkers|21 Savage, Offset & Metro Boomin
Hollow|Tori Kelly
Like A Wrecking Ball|Eric Church
Kiss And Make Up|Dua Lipa & BLACKPINK
We Should|Lil Baby & Young Thug
Forget Me Too|Machine Gun Kelly & Halsey
Fly S**t Only|Future
Somethin Tells Me|Bryson Tiller
Losers|The Weeknd Featuring Labrinth
Mo Bamba|Sheck Wes
You Look Good|Lady Antebellum
West Coast Shit|Pop Smoke Featuring Tyga & Quavo
All About That Bass|Meghan Trainor
She Don't Love You|Eric Paslay
Same Yung N***a|Gunna Featuring Playboi Carti
Kream|Iggy Azalea Feauring Tyga
Lay Me Down|Sam Smith
No Flex Zone|Rae Sremmurd
Pain Away|Meek Mill Featuring Lil Durk
The Ways|Khalid & Swae Lee
1942 Flows|Meek Mill
Coffee Bean|Travis Scott
Shottas (Lala)|Moneybagg Yo
Diamonds|YoungBoy Never Broke Again
I Wish Grandpas Never Died|Riley Green
F**k That Check Up|Meek Mill & Lil Uzi Vert
Sunshine & Whiskey|Frankie Ballard
Ice Melts|Drake Featuring Young Thug
H.O.L.Y.|Florida Georgia Line
Mine|Bazzi
Blackstar|David Bowie
The Jackie|Bas With J. Cole & Lil TJay
Heart Of A Giant|Polo G Featuring Rod Wave
close|J. Cole
Wins & Losses|Meek Mill
Trampoline|SHAED
Belly|Lil Baby & Gunna
Me Vs Me|Moneybagg Yo
Glock In My Lap|21 Savage & Metro Boomin
Kiss It Better|Rihanna
You Right|Doja Cat & The Weeknd
Man In The Mirror|A Boogie Wit da Hoodie
Thought I Was Playing|Gunna & 21 Savage
Be Like That|Kane Brown With Swae Lee & Khalid
Overdose|YoungBoy Never Broke Again
Cornelia Street|Taylor Swift
Adore|Cashmere Cat Featuring Ariana Grande
Twerkulator|City Girls
Tequila Shots|Kid Cudi
A Thousand Years|Sawyer Fredericks
Legacy|Offset Featuring Travis Scott & 21 Savage
Trap Trap Trap|Rick Ross Featuring Young Thug & Wale
Weather The Storm|DJ Khaled Featuring Meek Mill & Lil Baby
Whiskey In My Water|Tyler Farr
Waves|Mr. Probz
Yuck|Logic
Starlight (Taylor's Version)|Taylor Swift
Talk Dirty|Jason Derulo Featuring 2 Chainz
1, 2 Many|Luke Combs & Brooks & Dunn
I Love This Life|LOCASH
Change Lanes|Kevin Gates
I Met A Girl|William Michael Morgan
Fire N Gold|Bea Miller
Supastars|Migos
How Long|Charlie Puth
Only Thing That's Gone|Morgan Wallen Featuring Chris Stapleton
Break Up In A Small Town|Sam Hunt
Masterpiece|Jessie J
Die From A Broken Heart|Maddie & Tae
You Are In Love|Taylor Swift
My My My!|Troye Sivan
Million Reasons|Lady Gaga
The Motion|Drake
Hold My Hand|Jess Glynne
How I'll Always Be|Tim McGraw
Play It Again|Luke Bryan
Offended|Meek Mill Featuring Young Thug & 21 Savage
Tennis Court|Lorde
Fuck The World|Rod Wave
Writing's On The Wall|Sam Smith
whoa (mind in awe)|XXXTENTACION
Top Off|DJ Khaled Featuring JAY Z, Future & B
The Voice|Lil Durk
Hot Wind Blows|Tyler, The Creator Featuring Lil Wayne
No Stylist|French Montana Featuring Drake
Summer Days|Martin Garrix Featuring Macklemore & Patrick Stump
Night's On Fire|David Nail
If I'm Lyin, I'm Flyin|Kodak Black
Time Heals|Rod Wave
Eazy|The Game & Kanye West
Red Light Green Light|DaBaby
Ordinary Life|The Weeknd
Hot Now|YoungBoy Never Broke Again
Papercuts|Machine Gun Kelly
Down|Marian Hill
Woman Like Me|Adele
Walk It Talk It|Migos Featuring Drake
Shake It Off|Taylor Swift
Chicago Freestyle|Drake Featuring Giveon
Baby|Lil Baby & DaBaby
The 1|Taylor Swift
Slippery|Migos Featuring Gucci Mane
Publicity Stunt|Gucci Mane
X Ultima Vez|Daddy Yankee & Bad Bunny
865|Morgan Wallen
Black Swan|BTS
Wasted Love|Matt McAndrew
All Night Parking (Interlude)|Adele With Erroll Garner
Safaera|Bad Bunny, Jowell & Randy & Nengo Flow
Babe|Sugarland Featuring Taylor Swift
On My Mind|Ellie Goulding
GOSPEL|DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris
Baby Be My Love Song|Easton Corbin
All My Friends|21 Savage
Renegades|X Ambassadors
Bout A Million|Pop Smoke Featuring 21 Savage & 42 Dugg
Mama Mia|Lil Wayne
Slay3r|Playboi Carti
Deep Pockets|Drake
Tennessee Whiskey|Chris Stapleton
Dirty Stick|YoungBoy Never Broke Again
Super Trapper|Future
Side Effects|The Chainsmokers Featuring Emily Warren
Cranes In The Sky|Solange
Sad Girlz Luv Money|Amaarae & Moliy Featuring Kali Uchis
No Time To Die|Billie Eilish
Worst Day|Future
Fractions|Nicki Minaj
Stitches|Shawn Mendes
Can't Be Broken|Lil Wayne
Hit Different|SZA Featuring Ty Dolla $ign
Woah|Lil Baby
Come Through|H.E.R. Featuring Chris Brown
A Little More Summertime|Jason Aldean
Surround Sound|JID Featuring 21 Savage & Baby Tate
Cecilia And The Satellite|Andrew McMahon In The Wilderness
Ain't It Fun|Paramore
Darkness|Eminem
Broke In A Minute|Tory Lanez
Baila Conmigo|Selena Gomez With Rauw Alejandro
She Looks So Perfect|5 Seconds Of Summer
Too Good|Drake Featuring Rihanna
Treacherous (Taylor's Version)|Taylor Swift
Scars To Your Beautiful|Alessia Cara
Head Over Boots|Jon Pardi
Institutionalized|Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg
Cold As You|Luke Combs
Chrome Heart Tags|Lil Uzi Vert
RONDO|6ix9ine Featuring Tory Lanez & Young Thug
Perfect Illusion|Lady Gaga
Runnin|21 Savage & Metro Boomin
No Fear|DeJ Loaf
Myself|Post Malone
Dawn FM|The Weeknd
Like It's Christmas|Jonas Brothers
Hold That Heat|Southside, Travis Scott & Future
Believe|Mumford & Sons
Cheerleader|OMI
Look Back At It|A Boogie Wit da Hoodie
Ain't My Fault|Zara Larsson
Betty|Taylor Swift
A-O-K|Tai Verdes
Somethin' Bad|Miranda Lambert Duet With Carrie Underwood
Afterglow|Taylor Swift
Here Tonight|Brett Young
Redbone|Childish Gambino
Wesley's Theory|Kendrick Lamar Featuring George Clinton & Thundercat
Banking On Me|Gunna
Freedom Was A Highway|Jimmie Allen & Brad Paisley
Rumor|Lee Brice
Powerful|Major Lazer Featuring Ellie Goulding & Tarrus Riley
Christmastime Is Here|Vince Guaraldi Trio
Leave Me Alone|Flipp Dinero
No Shopping|French Montana Featuring Drake
I Bet You Think About Me (Taylor's Version) (From The Vault)|Taylor Swift Featuring Chris Stapleton
Leaving Heaven|Eminem Featuring Skylar Grey
Cherry|Harry Styles
Already Dead|Juice WRLD
Not You Too|Drake Featuring Chris Brown
Good Kisser|Usher
My Bad|Khalid
Life's A Mess II|Juice WRLD, Clever & Post Malone
Gonna Wanna Tonight|Chase Rice
Changed It|Nicki Minaj & Lil Wayne
Faking It|Calvin Harris Featuring Kehlani & Lil Yachty
Speed It Up|Gunna
Numb|Linkin Park
From The Ground Up|Dan + Shay
Beautiful Trip|Kid Cudi
If I Told You|Darius Rucker
Bad Idea|Ariana Grande
Blastoff|Internet Money Featuring Juice WRLD & Trippie Redd
Do It To It|Acraze Featuring Cherish
Good News|Mac Miller
Huncho Dreams|Quavo
Hrs And Hrs|Muni Long
Repeat It|Lil Tecca & Gunna
Even Though I'm Leaving|Luke Combs
Messin' Around|Pitbull Featuring Enrique Iglesias
Rich MF|Trippie Redd Featuring Lil Durk & Polo G
Skin|Sabrina Carpenter
Die For Me|Post Malone Featuring Future & Halsey
I Miss You|Clean Bandit Featuring Julia Michaels
I Really Like You|Carly Rae Jepsen
Boyz-N-The Hood|Eazy-E
Rent Money|Future
Street Runner|Rod Wave
Awful Things|Lil Peep
Save Me|XXXTENTACION
Plastic Bag|Drake & Future
Took Her To The O|King Von
Doin' This|Luke Combs
Good Thing|Sage The Gemini Featuring Nick Jonas
Praise God|Kanye West
Chicken Tendies|Clinton Kane
I Want It|Juice WRLD
I Dare You|Kelly Clarkson
Daddy|PSY Featuring CL
Shivers|Ed Sheeran
Skate|Silk Sonic (Bruno Mars & Anderson .Paak)
***Flawless|Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie
Saturday Nights|Khalid & Kane Brown
We Didn't Have Much|Justin Moore
Over It|Summer Walker
BBO (Bad Bitches Only)|Migos Featuring 21 Savage
Sugar|Maroon 5
Gravity|Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator
A$AP Forever|A$AP Rocky Featuring Moby
Going Bad|Meek Mill Featuring Drake
Good Girl|Dustin Lynch
Drunk Me|Mitchell Tenpenny
Faith|George Michael
Lose My Mind|Brett Eldredge
Duele El Corazon|Enrique Iglesias Feat. Wisin or Tinashe & Javada
Animals|Maroon 5
Rich $ex|Future
I Need Your Love|Shaggy Featuring Mohombi, Faydee, Costi
Girls In The Hood|Megan Thee Stallion
When You Down|Lil Tecca & Polo G Featuring Lil Durk
Close To Me|Ellie Goulding X Diplo Featuring Swae Lee
Wat U Mean (Aye, Aye, Aye)|Dae Dae
At The Club|Jacquees X Dej Loaf
80s Mercedes|Maren Morris
Burn Slow|Wiz Khalifa Featuring Rae Sremmurd
God Made Girls|RaeLynn
Bumpin' The Night|Florida Georgia Line
Kill Jay Z|JAY-Z
Blood On My Jeans|Juice WRLD
CAN'T STOP|DaBaby
Blame It On Me|Post Malone
Blow A Bag|Future
Happy Holiday / The Holiday Season|Andy Williams
Am I Wrong|Nico & Vinz
Rolex|Ayo & Teo
My Truck|BRELAND
U With Me?|Drake
Coming Home|Keith Urban Featuring Julia Michaels
Bottom Of The Bottle|Curren$Y Featuring August Alsina & Lil Wayne
El Bano|Enrique Iglesias Featuring Bad Bunny
Nobody Love|Tori Kelly
Girl In A Country Song|Maddie & Tae
Expensive Pain|Meek Mill
Drinkin' Problem|Midland
Stuck With U|Ariana Grande & Justin Bieber
Ballin'|Mustard & Roddy Ricch
Drinking Class|Lee Brice
Therefore I Am|Billie Eilish
Budapest|George Ezra
Hot Girl Bummer|blackbear
Window Pain (Outro)|J. Cole
Slow Down Summer|Thomas Rhett
F*ck You, Goodbye|The Kid LAROI Featuring Machine Gun Kelly
Fight Song|Rachel Platten
Volvi|Aventura x Bad Bunny
On My Way To You|Cody Johnson
Welcome To New York|Taylor Swift
That's A Rack|Lil Uzi Vert
Wishing|DJ Drama Featuring Chris Brown, Skeme & Lyquin
Natural|Imagine Dragons
Often|The Weeknd
Immortals|Fall Out Boy
Love All|Drake Featuring JAY-Z
Life Is Good|Future Featuring Drake
Believe It|PARTYNEXTDOOR & Rihanna
On God|Kanye West
Woo Baby|Pop Smoke Featuring Chris Brown
Female|Keith Urban
Shake The Room|Pop Smoke Featuring Quavo
Blue Note$ II|Meek Mill Featuring Lil Uzi Vert
Stay|Zedd & Alessia Cara
Inmortal|Aventura
At My Best|Machine Gun Kelly Featuring Hailee Steinfeld
All I Know|The Weeknd Featuring Future
Youngblood|5 Seconds Of Summer
Take Back Home Girl|Chris Lane Featuring Tori Kelly
Get Ready|Rod Wave Featuring Kodak Black
Love You Like I Used To|Russell Dickerson
Bedroom Floor|Liam Payne
Neon Eyes|Morgan Wallen
Knocked Off|YoungBoy Never Broke Again
Might Be|DJ Luke Nasty
6 God|Drake
Ghost In This House|Lauren Duski
Ice Cream|BLACKPINK X Selena Gomez
Juggernaut|Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams
Paper Rings|Taylor Swift
Whiskey And Rain|Michael Ray
Too Easy|Gunna & Future
Burn The House Down|AJR
FourFiveSeconds|Rihanna & Kanye West & Paul McCartney
I'm Gonna Be|Post Malone
Gangsta|Kehlani
Wicked|Future
Difference Is|Lil Durk Featuring Summer Walker
I Remember|Rod Wave
Maps|Maroon 5
Capsize|Frenship & Emily Warren
Homegrown Honey|Darius Rucker
Bean (Kobe)|Lil Uzi Vert Featuring Chief Keef
Tomorrow Me|Luke Combs
I Love You So|The Walters
All The Good Girls Go To Hell|Billie Eilish
Bluebird|Miranda Lambert
Hey Look Ma, I Made It|Panic! At The Disco
Everyday We Lit|YFN Lucci Featuring PnB Rock
Scrape It Off|Pusha T Featuring Lil Uzi Vert & Don Toliver
Can't Feel My Face|The Weeknd
Enough For You|Olivia Rodrigo
Let Me Know (I Wonder Why Freestyle)|Juice WRLD
Thinking Out Loud|Ed Sheeran
Slumber Party|Britney Spears Featuring Tinashe
Desperate Man|Eric Church
Lust For Life|Lana Del Rey Featuring The Weeknd
The Bones|Maren Morris
To Be Loved By You|Parker McCollum
Know Like I Know|YoungBoy Never Broke Again
Jealous|Nick Jonas
Everybody Hates Me|The Chainsmokers
The Take|Tory Lanez Featuring Chris Brown
Up All Night|Khalid
Just Gettin' Started|Jason Aldean
Bad Romance|Lady Gaga
Believe Me|Lil Wayne Featuring Drake
Two Birds, One Stone|Drake
Delicate|Taylor Swift
Moonwalking In Calabasas|DDG
What If I Told You That I Love You|Ali Gatie
No Switch|YoungBoy Never Broke Again
Saved|Ty Dolla $ign Featuring E-40
Piece By Piece|Kelly Clarkson
I Might Need Security|Chance The Rapper
Top Of The World|Tim McGraw
All About It|Hoodie Allen Featuring Ed Sheeran
Little More (Royalty)|Chris Brown
Rise!|Tyler, The Creator Featuring Daisy World
The Long Way|Brett Eldredge
Back On Road|Gucci Mane & Drake
Iffy|Chris Brown
Come And See Me|PARTYNEXTDOOR Featuring Drake
Want To Want Me|Jason Derulo
Hawai|Maluma & The Weeknd
Duckworth.|Kendrick Lamar
No Love|August Alsina
Rockabye|Clean Bandit Featuring Sean Paul & Anne-Marie
Snow On Tha Bluff|J. Cole
Stargazing|Travis Scott
Stand By You|Rachel Platten
I Forgot That You Existed|Taylor Swift
In Control|YoungBoy Never Broke Again
Krippy Kush|Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian
Any Ol' Barstool|Jason Aldean
Escape Plan|Travis Scott
La Cancion|J Balvin & Bad Bunny
Lose|KSI x Lil Wayne
I Can Show You|Lil Uzi Vert
Always Forever|Bryson Tiller
Work|Iggy Azalea
Heaven On Earth|Kid Cudi
Shower|Becky G
Sacrifice|The Weeknd
Nobody's Love|Maroon 5
Where You Belong|The Weeknd
The Other Guy|Luke Combs
'Til You Can't|Cody Johnson
Feel.|Kendrick Lamar
Out Of Luck|Lil Tecca
34+35|Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Here With Me|Marshmello Featuring CHVRCHES
Low Life|Future Featuring The Weeknd
Something Big|Shawn Mendes
Roxanne|Arizona Zervas
Nobody To Blame|Chris Stapleton
Back To Sleep|Chris Brown
The Old Rugged Cross|Craig Wayne Boyd
Meet Me At Our Spot|THE ANXIETY: WILLOW & Tyler Cole
Hear Me Calling|Juice WRLD
Wine, Beer, Whiskey|Little Big Town
IMY2|Drake Featuring Kid Cudi
Stolen Dance|Milky Chance
Epiphany|Taylor Swift
Everybody Dies In Their Nightmares|XXXTENTACION
About You|Trey Songz
All Time Low|Jon Bellion
Rocking A Cardigan In Atlanta|Lil Shordie Scott
Love Wins|Carrie Underwood
Laugh Now Cry Later|Drake Featuring Lil Durk
Tom's Diner|AnnenMayKantereit & Giant Rooks
Lost|NF Featuring Hopsin
Levitating|Dua Lipa
Feels|Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean
Scholarships|Drake & Future
Adderall (Corvette Corvette)|Popp Hunna
Baila Baila Baila|Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Just How It Is|Young Thug
Trouble With A Heartbreak|Jason Aldean
End Game|Taylor Swift Featuring Ed Sheeran & Future
Antes|Anuel AA & Ozuna
Made For Now|Janet & Daddy Yankee
Cry No More|G Herbo Featuring Polo G & Lil Tjay
Don't Wanna Know|Maroon 5 Featuring Kendrick Lamar
Baby Pluto|Lil Uzi Vert
Untitled 02 l 06.23.2014.|Kendrick Lamar
Ghostbusters|Ray Parker Jr.
Beautiful|Bazzi Featuring Camila Cabello
Beast Mode|A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again
Classic Man|Jidenna Featuring Roman GianArthur
If It Ain't Love|Jason Derulo
Pray For Me|The Weeknd & Kendrick Lamar
Never Enough|One Direction
New Man|Ed Sheeran
Plan B|Megan Thee Stallion
Try Me|DeJ Loaf
On Everything|DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean
Butterfly Effect|Travis Scott
Lost Boy|Ruth B
Cruel Summer|Taylor Swift
Go Legend|Big Sean & Metro Boomin Featuring Travis Scott
God, Your Mama, And Me|Florida Georgia Line Featuring Backstreet Boys
Red Opps|21 Savage
44 Bulldog|Pop Smoke
Thriller|Michael Jackson
That Way|Lil Uzi Vert
Glorious|Macklemore Featuring Skylar Grey
Too Good At Goodbyes|Sam Smith
Tick Tock|Young Thug
You Da Baddest|Future Featuring Nicki Minaj
No Smoke|YoungBoy Never Broke Again
Move Ya Hips|A$AP Ferg Featuring Nicki Minaj & MadeinTYO
Love To Lay|The Weeknd
Wow.|Post Malone
Bad Man (Smooth Criminal)|Polo G
Suicidal|YNW Melly & Juice WRLD
You Belong With Me (Taylor's Version)|Taylor Swift
4th Dimension|KIDS SEE GHOSTS Featuring Louis Prima
Final Fantasy|Drake
Love|Lana Del Rey
A Sky Full Of Stars|Coldplay
Woods|Mac Miller
Dedication|Nipsey Hussle Featuring Kendrick Lamar
Sad Beautiful Tragic (Taylor's Version)|Taylor Swift
Drinkin' Beer. Talkin' God. Amen.|Chase Rice Featuring Florida Georgia Line
Streets|Doja Cat
Good Form|Nicki Minaj Featuring Lil Wayne
Barbie Dreams|Nicki Minaj
A Guy With A Girl|Blake Shelton
Spicy|Nas Featuring Fivio Foreign & A$AP Ferg
Bad Habits|Ed Sheeran
No Longer Friends|Bryson Tiller
The Other Side|SZA X Justin Timberlake
Turks|NAV, Gunna & Travis Scott
Shotta Flow 5|NLE Choppa
Shotta Flow 6|NLE Choppa
The Good Ones|Gabby Barrett
You're A Mean One, Mr. Grinch|Thurl Ravenscroft
Everything 1K|Kodak Black
All The Stars|Kendrick Lamar & SZA
Danger|Migos & Marshmello
I Love It|Kanye West & Lil Pump
Transportin'|Kodak Black
Splash Warning|Meek Mill Featuring Future, Roddy Ricch & Young Thug
Already Callin' You Mine|Parmalee
Meant To Be|Bebe Rexha & Florida Georgia Line
Used To Love You Sober|Kane Brown
Armed And Dangerous|Juice WRLD
Soltera|Lunay, Daddy Yankee & Bad Bunny
This Christmas|Donny Hathaway
I Called Mama|Tim McGraw
Don't Pretend|Khalid x SAFE
Happy Xmas (War Is Over)|John & Yoko/The Plastic Ono Band With The Harlem Community Choir
Commercial|Lil Baby Featuring Lil Uzi Vert
Always Do|The Kid LAROI
3500|Travi$ Scott Featuring Future & 2 Chainz
Pray 4 Love|Rod Wave
Maze|Juice WRLD
Lets Link|WhoHeem
Nasty|Bandit Gang Marco Featuring Dro
You|Jacquees
The Box|Roddy Ricch
Lost Cause|Billie Eilish
No Sleep Leak|Lil Uzi Vert
Your Power|Billie Eilish
10 Freaky Girls|Metro Boomin Featuring 21 Savage
When We|Tank
King Kunta|Kendrick Lamar
Can I|Kehlani Featuring Tory Lanez
Leave The Door Open|Silk Sonic (Bruno Mars & Anderson .Paak)
Black|Dierks Bentley
Dope N****z|Lil Wayne Featuring Snoop Dogg
Kiss Somebody|Morgan Evans
Anyone|Demi Lovato
Hot|Young Thug Featuring Gunna
At Last|Sundance Head
Royals|Taylor John Williams
U Played|MoneyBagg Yo Featuring Lil Baby
How|Lil Baby
King's Dead|Jay Rock, Kendrick Lamar, Future & James Blake
Broken Halos|Chris Stapleton
A Holly Jolly Christmas|Burl Ives
Ay, Dios Mio!|Karol G
You're So Beautiful|Empire Cast Featuring Jussie Smollett & Yazz
The Bigger Picture|Lil Baby
Say You Do|Dierks Bentley
Panini|Lil Nas X
After Dark|Drake Featuring Static Major & Ty Dolla $ign
MAMIII|Becky G X Karol G
Rich N***a Shit|Young Thug With Juice WRLD
I Guess I'm In Love|Clinton Kane
Roses|The Chainsmokers Featuring Rozes
Six Thirty|Ariana Grande
GANG GANG|JACKBOYS & Sheck Wes
Guardian Angel|XXXTENTACION
The London|Young Thug, J. Cole & Travis Scott
The First Noel|Gabby Barrett
No Mediocre|T.I. Featuring Iggy Azalea
Blue World|Mac Miller
I Hope You're Happy Now|Carly Pearce & Lee Brice
Codeine Dreaming|Kodak Black Featuring Lil Wayne
It's You|Zayn
Death Bed|Powfu Featuring beabadoobee
Hell Right|Blake Shelton Featuring Trace Adkins
I Heard You're Married|The Weeknd Featuring Lil Wayne
Man Of The Year|Juice WRLD
For Free|DJ Khaled Featuring Drake
El Amante|Nicky Jam
Forever Country|Artists Of Then, Now & Forever
Eat It|Megan Thee Stallion
Yeah|Joe Nichols
Before I Let Go|Beyonce
Comfortable|K Camp
Painting Pictures|Polo G
Simple Man|Sawyer Fredericks
Don't Need Friends|NAV Featuring Lil Baby
Drunk Girl|Chris Janson
Out The Speakers|A-Trak + Milo & Otis Featuring Rich Kidz
Enemy|Imagine Dragons X JID
Happy Anywhere|Blake Shelton Featuring Gwen Stefani
La Fama|Rosalia Featuring The Weeknd
Jail|Kanye West
All Dat|Moneybagg Yo X Megan Thee Stallion
Hate Me|Ellie Goulding & Juice WRLD
Moral Of The Story|Ashe Featuring Niall Horan
All Day|Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney
Weeeeee|Trippie Redd
Babe (Taylor's Version) (From The Vault)|Taylor Swift
Can't Leave Without It|21 Savage
Bad Morning|YoungBoy Never Broke Again
Proud Of You|Young Thug Featuring Lil Uzi Vert & Yung Kayo
Leave Em Alone|Layton Greene, Lil Baby, City Girls & PnB Rock
Hold On|Justin Bieber
Pink + White|Frank Ocean
Itty Bitty Piggy|Nicki Minaj
Look Alive|Rae Sremmurd
Say You Won't Let Go|James Arthur
Like I Loved You|Brett Young
2 On|Tinashe Featuring ScHoolboy Q
New Romantics|Taylor Swift
Difference (Interlude)|XXXTENTACION
Rollin|Calvin Harris Featuring Future & Khalid
Record Year|Eric Church
BAD!|XXXTENTACION
Infinity (888)|XXXTENTACION Featuring Joey Bada$$
May We All|Florida Georgia Line Featuring Tim McGraw
Dancing With The Devil|Demi Lovato
Dis-ease|BTS
Dolla Sign Slime|Lil Nas X Featuring Megan Thee Stallion
X Gon' Give It To Ya|DMX
Flowers|Lauren Spencer-Smith
Hardest To Love|The Weeknd
Writing On The Wall|French Montana Featuring Post Malone, Cardi B & Rvssian
Dead Trollz|YoungBoy Never Broke Again
Landed|Drake
Owe Me|Big Sean
Run Rudolph Run|Chuck Berry
Wokeuplikethis*|Playboi Carti Featuring Lil Uzi Vert
You Broke Up With Me|Walker Hayes
Bar At The End Of The World|Kenny Chesney
Rich|Maren Morris
Let It Snow, Let It Snow, Let It Snow|Dean Martin
Fight Night|Migos
Ratchet Happy Birthday|Drake
Blind|DaBaby Featuring Young Thug
Last One Standing|Skylar Grey, Polo G, Mozzy & Eminem
Everywhere But On|Matt Stell
4KT Baby|YoungBoy Never Broke Again
Die For You|The Weeknd
Ride Out|Kid Ink, Tyga, Wale, YG & Rich Homie Quan
Love You Different|Justin Bieber Featuring BEAM
Tip Toe|Roddy Ricch Featuring A Boogie Wit da Hoodie
Bad Luck|Khalid
Break Up With Your Girlfriend, I'm Bored|Ariana Grande
Adventure Of A Lifetime|Coldplay
Lo Siento BB:/|Tainy, Bad Bunny & Julieta Venegas
Go Part 1|Polo G Featuring G Herbo
Sneaky Links|Rod Wave
My Girl|Dylan Scott
Juju On That Beat (TZ Anthem)|Zay Hilfigerrr & Zayion McCall
Guatemala|Swae Lee Featuring Slim Jxmmi
Jumpin|NLE Choppa Featuring Polo G
Good For You|Selena Gomez Featuring A$AP Rocky
Suncity|Khalid Featuring Empress Of
Majesty|Nicki Minaj Featuring Eminem & Labrinth
Six Feet Apart|Luke Combs
A Million Dreams|P!nk
She's Mine Pt. 2|J. Cole
She's Mine Pt. 1|J. Cole
Panda|Desiigner
Working|Tate McRae X Khalid
Another Day|Kid Cudi
Pay You Back|Meek Mill Featuring 21 Savage
POP STAR|DaBaby Featuring Kevin Gates
Dark Queen|Lil Uzi Vert
Lush Life|Zara Larsson
Perfect Storm|Brad Paisley
LIFTED|CL
We Dem Boyz|Wiz Khalifa
Ride|twenty one pilots
Proud|2 Chainz Featuring YG & Offset
Catch|Brett Young
Praise The Lord|BRELAND Featuring Thomas Rhett
I'll Be Home For Christmas|Bing Crosby
For Whom The Bell Tolls|J. Cole
Adore You|Harry Styles
Costa Rica|Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God
Chainsaw|The Band Perry
Freaky Friday|Lil Dicky Featuring Chris Brown
Pick Out A Christmas Tree|Dan + Shay
If Only|Dove Cameron
Yes Indeed|Lil Baby & Drake
Supplies|Justin Timberlake
Bang My Head|David Guetta Featuring Sia & Fetty Wap
24K Magic|Bruno Mars
Takeaway|The Chainsmokers & ILLENIUM Featuring Lennon Stella
Sangria|Blake Shelton
Change Locations|Drake & Future
Love Me|Lil Tecca
Venom|Eminem
RGF Island|Fetty Wap
20/20|Lil Tjay
White Teeth|YoungBoy Never Broke Again
Real As It Gets|Lil Baby Featuring EST Gee
Uber Everywhere|MadeinTYO
The Middle|Zedd, Maren Morris & Grey
Sasuke|Lil Uzi Vert
Alright|Kendrick Lamar
La Jeepeta|Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
Love Lies|Khalid & Normani
Smoke|A Thousand Horses
Lil Top|YoungBoy Never Broke Again
Know No Better|Major Lazer Featuring Travis Scott, Camila Cabello & Quavo
Tyler Herro|Jack Harlow
Industry Baby|Lil Nas X & Jack Harlow
No Return|Polo G Featuring The Kid LAROI & Lil Durk
Headshot|Lil Tjay, Polo G & Fivio Foreign
FEFE|6ix9ine Featuring Nicki Minaj & Murda Beatz
Insane|Summer Walker
Me Gusta|Anitta Featuring Cardi B & Myke Towers
2 Phones|Kevin Gates
